#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:04:16.854
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 1: Function: (C1-C2)/301

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.00461375,0.0222841,-0.000265419,7.49153e-05
-0.0046125,0.0222841,-0.000265419,7.49153e-05
-0.00461125,0.0226153,-0.000265419,7.60156e-05
-0.00461,0.0219529,-0.000265419,7.3815e-05
-0.00460875,0.0219529,7.00975e-05,7.27003e-05
-0.0046075,0.0219529,-0.000600936,7.49296e-05
-0.00460625,0.0222841,-0.000600936,7.60299e-05
-0.004605,0.0219529,-0.000265419,7.3815e-05
-0.00460375,0.0219529,-0.000600936,7.49296e-05
-0.0046025,0.0222841,-0.000265419,7.49153e-05
-0.00460125,0.0219529,-0.000600936,7.49296e-05
-0.0046,0.0219529,-0.000600936,7.49296e-05
-0.00459875,0.0222841,-0.000265419,7.49153e-05
-0.0045975,0.0222841,-0.000265419,7.49153e-05
-0.00459625,0.0222841,7.00975e-05,7.38006e-05
